北京爱数智慧语音采集我们聊的第一个话题是娱乐  (G0004_S0001_0_SPK001-26.048-31.870.wav)
嗯 you i i like in a chinese food  (G0005_S0001_0_SPK004-64.610-69.070.wav)
 i don't like west food  (G0005_S0001_0_SPK004-69.710-72.040.wav)
我不喜欢吃对不太喜欢吃西方的  (G0005_S0001_0_SPK004-72.860-76.090.wav)
呃 like chinese food better  (G0005_S0001_0_SPK004-76.803-79.270.wav)
也  (G0005_S0001_0_SPK004-84.350-85.030.wav)
嗯  (G0005_S0001_0_SPK004-88.790-89.410.wav)
嗯  (G0005_S0001_0_SPK004-96.710-97.240.wav)
火归 how port ok how port啊 yeah i i i love how port  (G0005_S0001_0_SPK004-99.290-105.820.wav)
 as well i like how about to  (G0005_S0001_0_SPK004-106.310-108.490.wav)
 hot part you know very laugh verypeccy  (G0005_S0001_0_SPK004-109.370-113.290.wav)
嗯  (G0005_S0001_0_SPK004-121.070-121.690.wav)
也  (G0005_S0001_0_SPK004-122.570-123.160.wav)
 vegetable  (G0005_S0001_0_SPK004-129.350-130.389.wav)
 admit  (G0005_S0001_0_SPK004-130.970-131.800.wav)
 meet  (G0005_S0001_0_SPK004-132.110-132.820.wav)
 yes  (G0005_S0001_0_SPK004-133.100-133.900.wav)
嗯  (G0005_S0001_0_SPK004-135.590-136.180.wav)
嗯 like you know  (G0005_S0001_0_SPK004-136.460-138.670.wav)
呃 like  (G0005_S0001_0_SPK004-138.978-140.620.wav)
 like pok like be for  (G0005_S0001_0_SPK004-141.530-144.040.wav)
嗯 like be呃 also chicken  (G0005_S0001_0_SPK004-146.120-148.690.wav)
 like  (G0005_S0001_0_SPK004-151.910-152.710.wav)
嗯像蔬菜的话 vegetables就比较喜欢呃就是土豆  (G0005_S0001_0_SPK004-153.470-160.840.wav)
呃 tomato  (G0005_S0001_0_SPK004-161.690-163.120.wav)
 and  (G0005_S0001_0_SPK004-163.670-164.650.wav)
 and call to see that怎么说  (G0005_S0001_0_SPK004-165.050-168.190.wav)
的  (G0005_S0001_0_SPK004-169.100-169.720.wav)
唉 yeah green vegetable  (G0005_S0001_0_SPK004-173.630-175.600.wav)
 yeah right  (G0005_S0001_0_SPK004-177.590-178.780.wav)
嗯  (G0005_S0001_0_SPK004-179.274-179.778.wav)
嗯  (G0005_S0001_0_SPK004-183.530-184.210.wav)
嗯  (G0005_S0001_0_SPK004-186.530-187.060.wav)
嗯 yes  (G0005_S0001_0_SPK004-188.180-189.323.wav)
 yes  (G0005_S0001_0_SPK004-193.040-193.780.wav)
 it's taste very delicious非常像  (G0005_S0001_0_SPK004-196.850-199.870.wav)
对 especially辣椒 specially  (G0005_S0001_0_SPK004-200.810-204.280.wav)
辣椒嗯  (G0005_S0001_0_SPK004-204.680-205.750.wav)
收  (G0005_S0001_0_SPK004-205.970-206.800.wav)
呃牛肉 you know taste very becy  (G0005_S0001_0_SPK004-207.260-210.340.wav)
 yes very hot  (G0005_S0001_0_SPK004-212.210-213.520.wav)
嗯  (G0005_S0001_0_SPK004-216.530-217.030.wav)
嗯 be noodles  (G0005_S0001_0_SPK004-220.130-221.350.wav)
嗯 so delicious  (G0005_S0001_0_SPK004-225.770-227.140.wav)
嗯  (G0005_S0001_0_SPK004-229.850-230.470.wav)
 and you know嗯  (G0005_S0001_0_SPK004-230.930-233.020.wav)
再加上一些简单啊 x  (G0005_S0001_0_SPK004-233.300-236.091.wav)
加个 x还有一些泡菜  (G0005_S0001_0_SPK004-237.470-239.694.wav)
 yeah some vegetables  (G0005_S0001_0_SPK004-239.902-241.930.wav)
 p s  (G0005_S0001_0_SPK004-243.920-244.540.wav)
嗯  (G0005_S0001_0_SPK004-245.210-245.710.wav)
嗯  (G0005_S0001_0_SPK004-250.880-251.500.wav)
嗯  (G0005_S0001_0_SPK004-254.120-254.680.wav)
 yes the life is beautiful  (G0005_S0001_0_SPK004-262.280-264.670.wav)
 yes  (G0005_S0001_0_SPK004-267.230-267.940.wav)
 you know too many too many a room i love do youious food我很喜欢美食  (G0005_S0001_0_SPK004-275.060-280.262.wav)
嗯 like you know烤鱼 fish口 post fish  (G0005_S0001_0_SPK004-282.132-287.660.wav)
 i love i love i love fish you know i love to eat fish我喜欢吃鱼  (G0005_S0001_0_SPK004-289.910-295.141.wav)
特别喜欢吃鱼  (G0005_S0001_0_SPK004-295.767-296.860.wav)
 yes  (G0005_S0001_0_SPK004-306.020-306.670.wav)
 like前于  (G0005_S0001_0_SPK004-307.220-308.410.wav)
嗯 like手表语  (G0005_S0001_0_SPK004-309.140-310.810.wav)
 i don't know how to say that in english but  (G0005_S0001_0_SPK004-311.827-314.920.wav)
嗯  (G0005_S0001_0_SPK004-315.320-316.060.wav)
遇到 those fish they also求他们的肉置很软  (G0005_S0001_0_SPK004-316.760-320.230.wav)
 have a result  (G0005_S0001_0_SPK004-323.060-324.070.wav)
 yes  (G0005_S0001_0_SPK004-326.660-327.400.wav)
 and taste  (G0005_S0001_0_SPK004-327.740-329.692.wav)
 yes  (G0005_S0001_0_SPK004-343.610-344.230.wav)
 yes  (G0005_S0001_0_SPK004-351.710-352.510.wav)
嗯 you don't have to  (G0005_S0001_0_SPK004-357.170-358.792.wav)
呃咬起来你不需要咬起来特别呃用力那种哈  (G0005_S0001_0_SPK004-359.156-364.690.wav)
 you don't呃 they are very easy to true  (G0005_S0001_0_SPK004-365.180-367.895.wav)
嗯描起来非常容易消化然后同时鱼肉也比较容易消化  (G0005_S0001_0_SPK004-368.810-373.162.wav)
 the fish is easy to  (G0005_S0001_0_SPK004-373.850-376.420.wav)
呃  (G0005_S0001_0_SPK004-377.060-377.770.wav)
好多谁的消化  (G0005_S0001_0_SPK004-378.170-379.769.wav)
 be digest  (G0005_S0001_0_SPK004-380.390-381.501.wav)
好像叫 digest非常容易消化  (G0005_S0001_0_SPK004-383.750-386.620.wav)
 and you know呃  (G0005_S0001_0_SPK004-387.498-389.560.wav)
一般考鱼的话会放很多调料  (G0005_S0001_0_SPK004-390.260-392.800.wav)
嗯辣椒  (G0005_S0001_0_SPK004-393.110-394.570.wav)
然后充江算 audience  (G0005_S0001_0_SPK004-395.000-397.120.wav)
呃 garric  (G0005_S0001_0_SPK004-397.434-399.070.wav)
嗯 those调料 you know those调料 make makes考于呃 better more delicious  (G0005_S0001_0_SPK004-399.860-407.800.wav)
 yes and  (G0005_S0001_0_SPK004-410.300-411.670.wav)
嗯  (G0005_S0001_0_SPK004-412.520-413.080.wav)
 and you know a lot of vegetables  (G0005_S0001_0_SPK004-414.290-416.800.wav)
呃 like豆腐  (G0005_S0001_0_SPK004-417.170-418.750.wav)
呃 like省土豆  (G0005_S0001_0_SPK004-419.060-420.910.wav)
嗯土豆豆腐损 and all  (G0005_S0001_0_SPK004-422.120-425.946.wav)
呃也是  (G0005_S0001_0_SPK004-428.090-429.040.wav)
嗯 so good然后再加一碗米饭  (G0005_S0001_0_SPK004-432.807-434.980.wav)
嗯  (G0005_S0001_0_SPK004-436.460-437.140.wav)
 yes  (G0005_S0001_0_SPK004-437.990-438.932.wav)
 yes  (G0005_S0001_0_SPK004-440.720-441.370.wav)
 so nice you know而且 it's easy to cook很很容易去做  (G0005_S0001_0_SPK004-444.050-449.021.wav)
嗯食材也比较好买  (G0005_S0001_0_SPK004-449.688-451.493.wav)
 it's very cheap  (G0005_S0001_0_SPK004-451.760-452.920.wav)
嗯与  (G0005_S0001_0_SPK004-453.440-454.450.wav)
 yes and unit  (G0005_S0001_0_SPK004-455.300-456.880.wav)
嗯  (G0005_S0001_0_SPK004-457.280-457.870.wav)
 and you have  (G0005_S0001_0_SPK004-459.290-460.842.wav)
还有 cup of rice  (G0005_S0001_0_SPK004-462.283-463.780.wav)
再来一一碗米饭  (G0005_S0001_0_SPK004-464.030-465.501.wav)
嗯 you know very very  (G0005_S0001_0_SPK004-466.400-468.491.wav)
把肉被耍  (G0005_S0001_0_SPK004-469.940-471.130.wav)
嗯  (G0005_S0001_0_SPK004-479.000-479.560.wav)
 yes there  (G0005_S0001_0_SPK004-481.580-482.920.wav)
现在可  (G0004_S0001_0_SPK001-37.490-38.080.wav)
呃可以开上  (G0004_S0001_0_SPK001-45.080-46.300.wav)
呃你平常在  (G0004_S0001_0_SPK001-54.260-55.913.wav)
在家里的有有一些有什么活动啊  (G0004_S0001_0_SPK001-56.330-60.250.wav)
哦你平常都玩哪些 game啊有哪些自己喜欢的呀  (G0004_S0001_0_SPK001-71.540-76.150.wav)
啊我平常  (G0004_S0001_0_SPK001-87.890-89.192.wav)
呃 play一些嗯  (G0004_S0001_0_SPK001-89.600-92.682.wav)
呃王者荣耀吧  (G0004_S0001_0_SPK001-93.307-95.260.wav)
王者荣耀经常还我  (G0004_S0001_0_SPK001-95.780-98.433.wav)
还拿一些  (G0004_S0001_0_SPK001-99.227-100.403.wav)
呃  (G0004_S0001_0_SPK001-100.760-101.500.wav)
 pen塔 q啊  (G0004_S0001_0_SPK001-102.470-103.762.wav)
啊还是挺多的然后平常还  (G0004_S0001_0_SPK001-104.158-106.905.wav)
哎  (G0004_S0001_0_SPK001-107.870-108.693.wav)
对呀  (G0004_S0001_0_SPK001-110.900-111.760.wav)
哎  (G0004_S0001_0_SPK001-116.030-116.643.wav)
 a little a little  (G0004_S0001_0_SPK001-117.307-118.504.wav)
那你还有别的了什么娱乐活动吗在你的  (G0004_S0001_0_SPK001-129.467-133.322.wav)
呃 we can day  (G0004_S0001_0_SPK001-133.908-135.614.wav)
嗯  (G0004_S0001_0_SPK001-147.590-148.258.wav)
之前看  (G0004_S0001_0_SPK001-149.687-150.476.wav)
看啊最近看了一个  (G0004_S0001_0_SPK001-151.130-153.983.wav)
叫 stupid child的一个电影里面  (G0004_S0001_0_SPK001-154.338-158.534.wav)
嗯  (G0004_S0001_0_SPK001-159.170-159.850.wav)
讲了  (G0004_S0001_0_SPK001-161.480-162.400.wav)
鱼对对对就是演了一演了一对  (G0004_S0001_0_SPK001-166.604-170.440.wav)
也对能够  (G0004_S0001_0_SPK001-170.780-172.167.wav)
呃一个 brother和它的 sister  (G0004_S0001_0_SPK001-173.150-176.662.wav)
以他们的一些过事  (G0004_S0001_0_SPK001-177.097-179.170.wav)
啊对对对  (G0004_S0001_0_SPK001-183.498-185.051.wav)
看的我非常的  (G0004_S0001_0_SPK001-185.377-186.585.wav)
非常的  (G0004_S0001_0_SPK001-187.340-188.134.wav)
嗯  (G0004_S0001_0_SPK001-188.930-189.562.wav)
感动痛苦流涕啊感觉有点  (G0004_S0001_0_SPK001-189.920-192.765.wav)
哦  (G0004_S0001_0_SPK001-205.490-206.320.wav)
 what  (G0004_S0001_0_SPK001-206.780-207.610.wav)
 what我怎么没有  (G0004_S0001_0_SPK001-208.910-210.613.wav)
呃看过呢  (G0004_S0001_0_SPK001-211.430-213.223.wav)
它这里面讲了讲了  (G0004_S0001_0_SPK001-214.430-217.420.wav)
讲了一些  (G0004_S0001_0_SPK001-217.940-219.053.wav)
讲了一些什么  (G0004_S0001_0_SPK001-220.340-221.538.wav)
什么过事呢什么 story呢  (G0004_S0001_0_SPK001-222.200-225.190.wav)
哇感觉  (G0004_S0001_0_SPK001-246.290-248.020.wav)
感觉这个 story非常的令人  (G0004_S0001_0_SPK001-248.525-250.610.wav)
脸  (G0004_S0001_0_SPK001-251.114-251.889.wav)
嗯  (G0004_S0001_0_SPK001-252.920-253.389.wav)
感动了  (G0004_S0001_0_SPK001-253.700-254.830.wav)
你这么喜欢  (G0004_S0001_0_SPK001-258.805-259.753.wav)
这个这个  (G0004_S0001_0_SPK001-260.325-261.493.wav)
这个  (G0004_S0001_0_SPK001-262.310-263.140.wav)
 star  (G0004_S0001_0_SPK001-264.003-264.910.wav)
哦他是不是  (G0004_S0001_0_SPK001-273.680-275.413.wav)
和我们  (G0004_S0001_0_SPK001-275.977-276.880.wav)
啊平常偏的 name不太一样  (G0004_S0001_0_SPK001-277.358-281.350.wav)
哦  (G0004_S0001_0_SPK001-300.920-301.900.wav)
你说的是这  (G0004_S0001_0_SPK001-305.630-306.863.wav)
 you say你说 you  (G0004_S0001_0_SPK001-307.220-309.815.wav)
但是这个 only name我以为你说的是这个  (G0004_S0001_0_SPK001-311.120-315.216.wav)
呃 start starting  (G0004_S0001_0_SPK001-315.798-318.400.wav)
 start name呢  (G0004_S0001_0_SPK001-319.070-320.410.wav)
呃 no no no呢是我的没理解明白可能  (G0004_S0001_0_SPK001-330.860-335.502.wav)
挖  (G0004_S0001_0_SPK001-343.495-343.910.wav)
 better days  (G0004_S0001_0_SPK001-354.350-355.423.wav)
哦  (G0004_S0001_0_SPK001-356.447-356.973.wav)
我怎么没有  (G0004_S0001_0_SPK001-357.950-359.152.wav)
呃 hair过  (G0004_S0001_0_SPK001-359.630-361.045.wav)
为  (G0004_S0001_0_SPK001-363.380-363.880.wav)
 can you  (G0004_S0001_0_SPK001-364.250-365.174.wav)
 speak something  (G0004_S0001_0_SPK001-365.773-367.150.wav)
关于他呢  (G0004_S0001_0_SPK001-368.450-369.610.wav)
这部电影  (G0004_S0001_0_SPK001-370.040-371.200.wav)
哦  (G0004_S0001_0_SPK001-385.040-386.050.wav)
那里面周冬雨是不是饰演了一个 cooker  (G0004_S0001_0_SPK001-386.390-390.252.wav)
 cold by  (G0004_S0001_0_SPK001-404.877-405.910.wav)
哇  (G0004_S0001_0_SPK001-407.660-408.520.wav)
 listen起来还是很不错的哟  (G0004_S0001_0_SPK001-410.300-413.565.wav)
哦  (G0004_S0001_0_SPK001-452.240-453.430.wav)
哦  (G0004_S0001_0_SPK001-461.482-462.310.wav)
哦 amazing  (G0004_S0001_0_SPK001-474.140-476.004.wav)
拼  (G0004_S0001_0_SPK001-476.630-477.370.wav)
听听你说的这个 movie的  (G0004_S0001_0_SPK001-477.636-481.273.wav)
题材有像一些关于  (G0004_S0001_0_SPK001-481.580-484.912.wav)
一些哭暴力是吧  (G0004_S0001_0_SPK001-485.450-487.870.wav)
哦  (G0004_S0001_0_SPK001-489.950-490.884.wav)
哦还有一些  (G0004_S0001_0_SPK001-500.517-502.275.wav)
还有一些  (G0004_S0001_0_SPK001-502.640-503.629.wav)
还有些爱情 story是吧爱情  (G0004_S0001_0_SPK001-505.130-508.300.wav)
的曾经  (G0004_S0001_0_SPK001-508.610-509.950.wav)
嗯  (G0004_S0001_0_SPK001-517.100-517.832.wav)
你关于电影呢还有别的可介绍的吗  (G0004_S0001_0_SPK001-518.808-522.429.wav)
而且是魔威呀  (G0004_S0001_0_SPK001-523.039-524.543.wav)
 something  (G0004_S0001_0_SPK001-524.915-526.090.wav)
改变而来吗  (G0004_S0001_0_SPK001-555.020-556.123.wav)
还有  (G0004_S0001_0_SPK001-562.934-563.710.wav)
哦听起来  (G0004_S0001_0_SPK001-568.490-569.853.wav)
哎还是  (G0004_S0001_0_SPK001-570.290-571.334.wav)
不错的  (G0004_S0001_0_SPK001-572.150-573.070.wav)
哦  (G0004_S0001_0_SPK001-586.820-587.365.wav)
 yes  (G0004_S0001_0_SPK001-592.040-593.086.wav)
 i i like she  (G0004_S0001_0_SPK001-593.630-595.203.wav)
他的他的  (G0004_S0001_0_SPK001-596.240-597.760.wav)
还有 movie  (G0004_S0001_0_SPK001-598.340-599.502.wav)
我还是  (G0004_S0001_0_SPK001-599.810-601.120.wav)
呃  (G0004_S0001_0_SPK001-601.880-602.516.wav)
小时候小时候有一部  (G0004_S0001_0_SPK001-603.350-605.961.wav)
 a部 movie  (G0004_S0001_0_SPK001-606.200-607.990.wav)
嗯不知道 do you remember  (G0004_S0001_0_SPK001-608.274-611.110.wav)
那个  (G0004_S0001_0_SPK001-611.540-612.277.wav)
长江七号好像是他小时候小时候 play play的吧  (G0004_S0001_0_SPK001-612.693-618.035.wav)
哦  (G0004_S0001_0_SPK001-625.610-626.116.wav)
是我  (G0004_S0001_0_SPK001-626.660-627.484.wav)
说人们班错了  (G0004_S0001_0_SPK001-628.520-630.783.wav)
啊哦  (G0004_S0001_0_SPK001-641.570-643.427.wav)
他们  (G0004_S0001_0_SPK001-644.150-644.627.wav)
他们长的确实一些 like  (G0004_S0001_0_SPK001-645.380-647.703.wav)
还有  (G0004_S0001_0_SPK001-651.140-651.970.wav)
哦是的是的 yes yes  (G0004_S0001_0_SPK001-656.060-658.218.wav)
我看  (G0004_S0001_0_SPK001-660.350-660.984.wav)
 yes啊  (G0004_S0001_0_SPK001-666.410-667.600.wav)
 i think so  (G0004_S0001_0_SPK001-670.437-671.470.wav)
最近最近  (G0004_S0001_0_SPK001-680.150-681.730.wav)
嗯我想  (G0004_S0001_0_SPK001-682.580-684.010.wav)
 i want  (G0004_S0001_0_SPK001-684.896-685.542.wav)
嗯 looking some  (G0004_S0001_0_SPK001-686.076-687.563.wav)
升悬疑悬疑悬疑类似的你  (G0004_S0001_0_SPK001-688.190-692.827.wav)
 do you  (G0004_S0001_0_SPK001-693.680-694.504.wav)
有介绍的吗  (G0004_S0001_0_SPK001-695.156-696.340.wav)
有推荐的吗  (G0004_S0001_0_SPK001-697.910-699.062.wav)
哦还  (G0004_S0001_0_SPK001-729.246-730.063.wav)
好听  (G0004_S0001_0_SPK001-733.280-734.080.wav)
 listen起来还是  (G0004_S0001_0_SPK001-734.390-735.833.wav)
令我有一些憧憬的感觉  (G0004_S0001_0_SPK001-736.796-739.274.wav)
哦  (G0004_S0001_0_SPK001-763.100-763.900.wav)
还有  (G0004_S0001_0_SPK001-764.480-765.352.wav)
还有别的 some people  (G0004_S0001_0_SPK001-766.400-768.019.wav)
哦 tell care  (G0004_S0001_0_SPK001-776.153-778.259.wav)
下来  (G0004_S0001_0_SPK001-778.761-779.459.wav)
那我  (G0004_S0001_0_SPK001-779.947-780.664.wav)
嗯有有 time的时候可以去  (G0004_S0001_0_SPK001-781.520-785.232.wav)
 to look look  (G0004_S0001_0_SPK001-785.546-787.240.wav)
嗯周在  (G0004_S0001_0_SPK001-808.667-810.485.wav)
在周末的时候  (G0004_S0001_0_SPK001-810.950-812.443.wav)
哦我还  (G0004_S0001_0_SPK001-813.050-814.070.wav)
还会  (G0004_S0001_0_SPK001-815.000-816.130.wav)
诶叫上我的 friend一起去  (G0004_S0001_0_SPK001-816.560-820.060.wav)
跟一起去 go shopping  (G0004_S0001_0_SPK001-820.550-823.014.wav)
帅吧了  (G0004_S0001_0_SPK001-823.640-824.500.wav)
然后  (G0004_S0001_0_SPK001-825.440-826.210.wav)
 yes  (G0004_S0001_0_SPK001-826.910-827.530.wav)
 you like  (G0004_S0001_0_SPK001-829.190-829.990.wav)
那  (G0004_S0001_0_SPK001-830.600-831.550.wav)
那我们还是  (G0004_S0001_0_SPK001-835.167-836.317.wav)
还是挺相信  (G0004_S0001_0_SPK001-837.056-838.593.wav)
想笑能  (G0004_S0001_0_SPK001-839.028-839.754.wav)
你平常都喜欢去哪里 shopping啊  (G0004_S0001_0_SPK001-840.290-842.890.wav)
 supermarket  (G0004_S0001_0_SPK001-848.780-850.150.wav)
那你去过万达 quiet吗  (G0004_S0001_0_SPK001-856.730-858.850.wav)
 quite  (G0004_S0001_0_SPK001-859.310-860.170.wav)
啊经常去  (G0004_S0001_0_SPK001-863.960-865.210.wav)
那你平常都  (G0004_S0001_0_SPK001-868.716-869.961.wav)
 by by what something  (G0004_S0001_0_SPK001-870.590-872.620.wav)
 food  (G0004_S0001_0_SPK001-889.910-890.830.wav)
哦在你 shop品的时候你会  (G0004_S0001_0_SPK001-899.510-901.993.wav)
买一些  (G0004_S0001_0_SPK001-902.720-903.910.wav)
呃 some  (G0004_S0001_0_SPK001-904.250-905.173.wav)
嗯  (G0004_S0001_0_SPK001-905.990-906.850.wav)
最近夏天不是要 water water many配配雪碧吗  (G0004_S0001_0_SPK001-908.180-914.316.wav)
哦  (G0004_S0001_0_SPK001-921.440-922.390.wav)
 i like it  (G0004_S0001_0_SPK001-923.090-924.251.wav)
我最喜呃夏天在在  (G0004_S0001_0_SPK001-928.460-931.976.wav)
夏天的时候我还是比较喜欢来一星  (G0004_S0001_0_SPK001-933.407-936.223.wav)
因为这些  (G0004_S0001_0_SPK001-937.070-938.093.wav)
呃 eat起来非常清爽的呃东西  (G0004_S0001_0_SPK001-939.620-943.915.wav)
 drink  (G0004_S0001_0_SPK001-950.270-951.010.wav)
 drink a  (G0004_S0001_0_SPK001-951.440-952.900.wav)
呃冰冰凉凉的雪碧呀可累呀  (G0004_S0001_0_SPK001-953.717-957.074.wav)
然后  (G0004_S0001_0_SPK001-957.800-958.586.wav)
 eat  (G0004_S0001_0_SPK001-959.406-960.010.wav)
 it some  (G0004_S0001_0_SPK001-960.290-961.343.wav)
嗯上  (G0004_S0001_0_SPK001-962.270-963.862.wav)
 whatel it's my  (G0004_S0001_0_SPK001-965.060-967.094.wav)
 for most  (G0004_S0001_0_SPK001-967.765-969.129.wav)
在水果  (G0004_S0001_0_SPK001-970.037-970.982.wav)
 ice cream yes  (G0004_S0001_0_SPK001-982.790-985.300.wav)
哎我非呃 very very  (G0004_S0001_0_SPK001-986.785-989.179.wav)
 like喜欢吃  (G0004_S0001_0_SPK001-991.457-993.483.wav)
更配呦是吧  (G0004_S0001_0_SPK001-998.317-999.820.wav)
那你在周末的时候  (G0004_S0001_0_SPK001-1004.378-1006.805.wav)
嗯  (G0004_S0001_0_SPK001-1007.997-1008.536.wav)
嗯  (G0004_S0001_0_SPK001-1009.820-1010.486.wav)
一个人在家的时候 do what something  (G0004_S0001_0_SPK001-1011.136-1013.980.wav)
或者和你的 friends一起做些什么吗  (G0004_S0001_0_SPK001-1017.980-1021.703.wav)
像我们  (G0004_S0001_0_SPK001-1022.238-1023.160.wav)
四川人  (G0004_S0001_0_SPK001-1023.620-1024.780.wav)
都喜欢  (G0004_S0001_0_SPK001-1025.089-1026.190.wav)
 playing muam do you like  (G0004_S0001_0_SPK001-1026.770-1029.160.wav)
到哈我一直没我也没去  (G0004_S0001_0_SPK001-1036.008-1039.060.wav)
 go on go on  (G0004_S0001_0_SPK001-1040.607-1041.640.wav)
哦  (G0004_S0001_0_SPK001-1057.967-1058.920.wav)
你会打麻将呀  (G0004_S0001_0_SPK001-1061.105-1062.670.wav)
哇  (G0004_S0001_0_SPK001-1065.170-1066.143.wav)
哭了  (G0004_S0001_0_SPK001-1067.120-1067.883.wav)
 yes yes  (G0004_S0001_0_SPK001-1074.260-1075.732.wav)
 i  (G0004_S0001_0_SPK001-1077.380-1078.037.wav)
 when where  (G0004_S0001_0_SPK001-1078.565-1079.693.wav)
哦那那你  (G0004_S0001_0_SPK001-1086.488-1088.636.wav)
平常和  (G0004_S0001_0_SPK001-1089.655-1090.762.wav)
嗯  (G0004_S0001_0_SPK001-1091.240-1092.070.wav)
哪些哪些 people  (G0004_S0001_0_SPK001-1092.320-1094.650.wav)
打呀马家枪一般都要 for for people  (G0004_S0001_0_SPK001-1095.110-1099.630.wav)
是吧  (G0004_S0001_0_SPK001-1100.930-1101.415.wav)
哦是你的呃是你的 roommate你是你的室友吗  (G0004_S0001_0_SPK001-1116.980-1122.261.wav)
哦  (G0004_S0001_0_SPK001-1131.530-1132.873.wav)
他们不在 school吗不要 study吗  (G0004_S0001_0_SPK001-1135.708-1138.660.wav)
啊在在一些  (G0004_S0001_0_SPK001-1145.180-1146.980.wav)
呃节假日过来陪你 play play  (G0004_S0001_0_SPK001-1147.868-1151.272.wav)
是吧  (G0004_S0001_0_SPK001-1151.620-1152.376.wav)
 yes  (G0004_S0001_0_SPK001-1165.670-1166.710.wav)
 i want我喜欢  (G0004_S0001_0_SPK001-1178.690-1180.750.wav)
那  (G0004_S0001_0_SPK001-1180.970-1181.513.wav)
那说好了到时候一起  (G0004_S0001_0_SPK001-1182.050-1185.282.wav)
陪  (G0004_S0001_0_SPK001-1185.788-1186.552.wav)
 games王者荣耀啊什么的 playing ma酱  (G0004_S0001_0_SPK001-1187.178-1191.700.wav)
一些 relax  (G0004_S0001_0_SPK001-1193.180-1194.730.wav)
哦好的好的  (G0004_S0001_0_SPK001-1199.360-1200.605.wav)
哇  (G0004_S0001_0_SPK001-1207.550-1208.650.wav)
听起来就很很不错诶  (G0004_S0001_0_SPK001-1210.070-1212.184.wav)
 good idea  (G0004_S0001_0_SPK001-1214.000-1214.952.wav)
 cook  (G0004_S0001_0_SPK001-1222.310-1222.943.wav)
哦  (G0004_S0001_0_SPK001-1228.100-1228.870.wav)
哦确实听起来很不错  (G0004_S0001_0_SPK001-1233.740-1236.252.wav)
你平常  (G0004_S0001_0_SPK001-1240.506-1241.380.wav)
 all  (G0004_S0001_0_SPK001-1242.230-1243.120.wav)
嗯  (G0004_S0001_0_SPK001-1244.840-1245.502.wav)
 sometimes你喜欢  (G0004_S0001_0_SPK001-1246.160-1247.853.wav)
嗯看一些  (G0004_S0001_0_SPK001-1248.290-1249.669.wav)
呃 what  (G0004_S0001_0_SPK001-1250.120-1251.070.wav)
 what did嗯 tv play  (G0004_S0001_0_SPK001-1251.866-1253.920.wav)
哦一  (G0004_S0001_0_SPK001-1276.657-1277.680.wav)
 you say you say  (G0004_S0001_0_SPK001-1277.900-1280.560.wav)
就是  (G0004_S0001_0_SPK001-1281.111-1281.548.wav)
那呃他最近我也看到一个  (G0004_S0001_0_SPK001-1282.639-1285.930.wav)
呃 very good  (G0004_S0001_0_SPK001-1286.346-1288.120.wav)
呃前一篇是叫它的内膜有些  (G0004_S0001_0_SPK001-1288.400-1292.671.wav)
 remember卖不亲呢  (G0004_S0001_0_SPK001-1292.930-1294.161.wav)
好像是叫  (G0004_S0001_0_SPK001-1294.430-1295.818.wav)
哦  (G0004_S0001_0_SPK001-1296.290-1297.150.wav)
 is called  (G0004_S0001_0_SPK001-1298.090-1299.070.wav)
呃  (G0004_S0001_0_SPK001-1299.350-1300.018.wav)
 yeah yeahs  (G0004_S0001_0_SPK001-1315.946-1317.500.wav)
在重生之门  (G0004_S0001_0_SPK001-1318.220-1319.762.wav)
啊这部剧  (G0004_S0001_0_SPK001-1324.940-1326.661.wav)
嗯  (G0004_S0001_0_SPK001-1327.100-1327.696.wav)
非非非常 very very精彩  (G0004_S0001_0_SPK001-1328.546-1331.950.wav)
看的我爱不吃手  (G0004_S0001_0_SPK001-1332.320-1334.050.wav)
年夜年夜买了腾讯的呃 member  (G0004_S0001_0_SPK001-1337.060-1341.880.wav)
然后  (G0004_S0001_0_SPK001-1342.130-1343.020.wav)
呃干了他十几斤  (G0004_S0001_0_SPK001-1343.510-1345.930.wav)
 yes yes  (G0004_S0001_0_SPK001-1361.233-1362.674.wav)
 do you like  (G0004_S0001_0_SPK001-1363.100-1364.080.wav)
哦  (G0004_S0001_0_SPK001-1369.760-1370.570.wav)
最近听抖音上的  (G0004_S0001_0_SPK001-1372.640-1374.491.wav)
呃很多 music非常的好非常的  (G0004_S0001_0_SPK001-1374.860-1379.110.wav)
嗯 good listen嗯对你喜欢平常的喜欢 listen哪些 music  (G0004_S0001_0_SPK001-1379.720-1386.400.wav)
 oh tell me something some some music  (G0004_S0001_0_SPK001-1400.600-1404.280.wav)
哦胖  (G0004_S0001_0_SPK001-1409.240-1410.310.wav)
 do you like right  (G0004_S0001_0_SPK001-1411.370-1412.800.wav)
哇  (G0004_S0001_0_SPK001-1416.350-1417.150.wav)
耶哎 a little我平常  (G0004_S0001_0_SPK001-1425.170-1428.603.wav)
就听  (G0004_S0001_0_SPK001-1429.190-1430.380.wav)
听的少一点我喜欢听一些  (G0004_S0001_0_SPK001-1430.510-1433.747.wav)
 and colorla coca cola  (G0005_S0001_0_SPK004-483.440-485.462.wav)
 also守 very a death  (G0005_S0001_0_SPK004-486.530-488.110.wav)
对对对  (G0005_S0001_0_SPK004-491.900-492.850.wav)
嗯  (G0005_S0001_0_SPK004-493.160-493.720.wav)
